,stadiumID,stadium_name,stadium_city,state,country,latitude,longitude,capacity
14,14,Qualcomm Stadium,San Diego,CA,USA,32.783188,-117.119439,70561
23,23,Mall of America Field,Minneapolis,MN,US,44.976000,-93.225000,64111
25,25,Georgia Dome,Atlanta,GA,USA,33.757614,-84.400972,74228
28,28,Candlestick Park,San Francisco,CA,US,37.404108,-121.970274,70207
30,30,Edward Jones Dome,St. Louis,MO,USA,38.632975,-90.188547,66000
32,33,Wembley Stadium,London,,UK,51.555833,-0.279722,86000
33,34,Rogers Centre,Toronto,,CA,43.641590,-79.390028,86000
34,35,Fawcett Stadium,Canton,OH,USA,40.819822,-81.398177,22375
35,36,TCF Bank Stadium,Minneapolis,MN,USA,44.976000,-93.225000,50805
38,39,Camping World Stadium,Orlando,FL,USA,25.958056,-80.238889,65000
39,40,Twickenham Stadium,London,,UK,51.455936,-0.341516,82000
40,41,Estadio Azteca,Mexico City,,MEX,19.302861,-99.150528,87000
44,46,Tom Benson Hall of Fame Stadium,Canton,OH,USA,40.819880,-81.398010,
45,47,Tottenham Stadium,London,,UK,51.604444,-0.066389,62062
46,48,Aloha Stadium,Honolulu,HI,USA,21.372647,-157.929821,50000
47,50,Investors Group Field,Winnipeg,,CA,49.807778,-97.143056,33134
